John 3:16 | For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life.
Proverbs 3:5-6 | Trust in the Lord with all thine heart; and lean not unto thine own understanding. In all thy ways acknowledge him, and he shall direct thy paths.
Psalm 23:1 | The Lord is my shepherd; I shall not want.
Isaiah 40:31 | But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.
Matthew 5:14 | Ye are the light of the world. A city that is set on a hill cannot be hid.
Philippians 4:13 | I can do all things through Christ which strengtheneth me.
Romans 8:28 | And we know that all things work together for good to them that love God, to them who are the called according to his purpose.
Jeremiah 29:11 | For I know the thoughts that I think toward you, saith the Lord, thoughts of peace, and not of evil, to give you an expected end.
1 Corinthians 13:4-7 | Love suffereth long, and is kind; love envieth not; love vaunteth not itself, is not puffed up, Doth not behave itself unseemly, seeketh not her own, is not easily provoked, thinketh no evil; Rejoiceth not in iniquity, but rejoiceth in the truth; Beareth all things, believeth all things, hopeth all things, endureth all things.
Matthew 11:28 | Come unto me, all ye that labour and are heavy laden, and I will give you rest.
Mosiah 2:17 | When ye are in the service of your fellow beings ye are only in the service of your God.
Alma 37:6 | By small and simple things are great things brought to pass.
3 Nephi 9:22 | Whoso cometh unto me with a broken heart and a contrite spirit, him will I baptize with fire and with the Holy Ghost.
Ether 12:27 | And if men come unto me I will show unto them their weakness.
Moroni 7:47 | But charity is the pure love of Christ, and it endureth forever.
2 Nephi 2:25 | Adam fell that men might be; and men are, that they might have joy.
Mosiah 3:19 | For the natural man is an enemy to God, and has been from the fall of Adam, and will be, forever and ever, unless he yields to the enticings of the Holy Spirit.
2 Nephi 28:30 | For behold, thus saith the Lord God: I will give unto the children of men line upon line, precept upon precept, here a little and there a little.
Alma 34:32 | For behold, this life is the time for men to prepare to meet God; yea, behold, the day of this life is the day for men to perform their labors.
Mormon 9:27 | And now, O ye people of the house of Israel, how is it that ye will reject these things?
2 Nephi 2:11 | For it must needs be, that there is an opposition in all things.
Mosiah 4:30 | But this is not the case with God; He is unchangeable in His character.
Jacob 2:18 | But before ye seek for riches, seek ye for the kingdom of God.
Alma 32:21 | And now as I said concerning faith—faith is not to have a perfect knowledge of things; therefore if ye have faith ye hope for things which are not seen, which are true.
Ether 12:4 | Wherefore, whoso believeth in God might with surety hope for a better world.
1 Nephi 20:10 | For, behold, I have refined thee, I have chosen thee in the furnace of affliction.
Moroni 10:32 | Come unto Christ, and be perfected in Him, and deny yourselves of all ungodliness; and if ye deny yourselves of all ungodliness, and love God with all your might, mind and strength, then is His grace sufficient for you, that by His grace ye may be perfect in Christ.
Mosiah 5:15 | And now it is all in vain, if ye cannot speak peace unto the people and bring them unto repentance.
Alma 37:6 | By small and simple things are great things brought to pass.
Helaman 5:12 | And now, my sons, remember, remember that it is upon the rock of our Redeemer, who is Christ, the Son of God, that ye must build your foundation.
Alma 7:11-13 | And he shall go forth, suffering pains and afflictions and temptations of every kind; and this that the word might be fulfilled which saith he will take upon him the pains and the sicknesses of his people. And he will take upon him death, that he may loose the bands of death which bind his people; and he will take upon him their infirmities, that his bowels may be filled with mercy, according to the flesh, that he may know according to the flesh how to succor his people according to their infirmities. Now the Spirit knoweth all things; nevertheless the Son of God suffereth according to the flesh that he might take upon him the sins of his people, that he might blot out their transgressions according to the power of his deliverance; and now behold, this is the testimony which is in me.
